"well_name","metric_month","Net_Operating_Profit_to_WI_Owners","Oil_Production_Tax","Oil_Sales_Bbls","Total_Revenue","Total_WI_Expenses","Workover_Cost"
"Addie Hinds 1H","2023-09-01",12799.370000000004,1329.17,352.71,28847.29,7674.089999999998,0.0
"Addie Hinds 2H","2023-09-01",13644.8,1444.96,383.44,31360.21,8612.14,0.0
"Briscoe Dickerson 1H","2023-09-01",5358.869999999997,1158.72,307.48,25147.99,12091.430000000002,0.0
"Briscoe Dickerson 2H","2023-09-01",6116.810000000001,1248.89,331.41,27104.91,12554.099999999999,0.0
"Carter Unit 7H","2023-09-01",5570.18,1137.39,301.82,24684.65,11948.98,0.0
"Carter Unit 8H","2023-09-01",-32816.670000000006,859.64,228.11,18656.73,46057.700000000004,37794.19
"Conley Hickman 2H","2023-09-01",7032.869999999999,1411.81,374.64,30640.68,14673.29,0.0
"Cora Malone 1H","2023-09-01",7866.899999999998,2163.35,574.07,46951.46,25455.45,6856.47
"Cora Malone 3H","2023-09-01",9651.499999999998,1345.7,357.1,29205.94,11076.51,1003.42
"Cora Malone 4H","2023-09-01",13850.170000000006,3296.42,874.74,71542.57,36924.96,10259.49
"Davis B Wilson 2H","2023-09-01",13844.560000000001,1212.89,321.85,26323.38,4837.639999999999,0.0
"Davis B Wilson 3H","2023-09-01",17078.289999999997,1389.18,368.63,30149.51,4319.400000000001,0.0
"Davis B Wilson 4H","2023-09-01",-7048.32,1551.91,411.82,33681.15,30952.469999999998,24883.73
"Davis B Wilson 5H","2023-09-01",20665.43,2133.2,566.07,46296.94,12192.39,0.0
"Floy Gray 1H","2023-09-01",53215.98,3926.11,1041.83,85208.54,9057.74,0.0
"Floy Gray 2H","2023-09-01",20917.460000000003,1683.28,446.68,36532.23,5781.700000000001,0.0
"Floyd Tiller 1H","2023-09-01",1908.7099999999996,361.76,96.0,7851.27,3663.4900000000002,0.0
"Floyd Tiller 3H","2023-09-01",7879.66,1129.44,299.71,24512.37,9517.239999999998,0.0
"Floyd Tiller 5H","2023-09-01",4485.43,544.29,144.43,11812.79,3872.2400000000002,0.0
"Floyd Tiller 6H","2023-09-01",17964.72,1485.5,394.19,32239.78,4845.259999999999,0.0
"Floyd Tiller 7H","2023-09-01",23098.77,2482.25,658.69,53872.56,15135.609999999997,0.0
"Floyd Tiller 9H","2023-09-01",12581.289999999999,1151.02,305.44,24980.81,5092.9,0.0
"Floyd Tiller 10H","2023-09-01",24762.319999999996,2892.69,767.6,62779.95,19793.8,0.0
"Floyd Tiller 12H","2023-09-01",2803.1500000000005,485.92,128.94,10546.02,4658.27,0.0
"J.B. Northcutt 2H","2023-09-01",13766.630000000001,1605.46,426.03,34843.58,10962.530000000002,0.0
"J.B. Northcutt A 3H","2023-09-01",5248.7300000000005,719.58,190.95,15617.23,5924.499999999999,0.0
"J.B. Northcutt 6H","2023-09-01",9149.9,1156.61,306.92,25102.2,8665.62,0.0
"J.L. New 1H","2023-09-01",35481.57,2738.93,726.81,59443.61,9856.0,0.0
"Mary B Johnson 1BH","2023-09-01",33113.63,2501.57,663.82,54291.53,5543.639999999999,0.0
"Mary B Johnson 4H","2023-09-01",11923.469999999998,1221.62,324.17,26512.76,6893.13,0.0
"Mary B Johnson 5H","2023-09-01",11129.849999999999,1120.17,297.25,24311.01,6124.13,0.0
"Mary B Johnson 6H","2023-09-01",25714.460000000006,2483.81,659.11,53906.22,12543.81,0.0
"Mary B Johnson 7H","2023-09-01",12325.950000000004,1126.93,299.04,24457.79,5032.21,0.0
"Merriweather South 5H","2023-09-01",17155.159999999996,1975.0,524.09,42863.75,13266.060000000001,0.0
"Mose Baggett A 1H","2023-09-01",16882.98,2142.47,568.53,46498.36,16117.8,7974.1
"Moses Baggett 2H","2023-09-01",25011.570000000007,3035.59,805.53,65881.49,22122.86,0.0
"Moses Baggett 3H","2023-09-01",15821.97,1827.65,484.98,39665.45,12556.369999999997,0.0
"Moses Watson 1H","2023-09-01",-3423.680000000004,852.58,226.24,18503.63,16556.060000000005,4274.18
"Moses Watson 2H","2023-09-01",-14704.91,576.32,152.93,12507.81,23581.94,3610.31
"Moses Watson 3H","2023-09-01",-122250.44999999997,1402.98,372.3,30449.04,143860.71999999997,128866.43
"Northcutt Dye 1H","2023-09-01",4156.499999999999,685.29,181.85,14872.82,6399.0199999999995,0.0
"Northcutt Dye 2H","2023-09-01",22870.849999999995,1784.02,473.41,38718.56,4608.450000000001,0.0
"Northcutt Dye 3H","2023-09-01",11057.41,1063.85,282.3,23088.85,5329.18,0.0
"R.W. Carter 4BH","2023-09-01",4873.000000000001,702.52,186.42,15246.73,6196.11,0.0
"R.W. Carter 5BH","2023-09-01",-5324.83,0.0,0.0,0.0,5324.83,0.0
"Salt Flat Field","2023-09-01",0.0,0.0,0.0,0.0,0.0,0.0
"Smith B Unit 2H","2023-09-01",2274.6600000000017,755.46,200.47,16395.81,9355.619999999999,0.0
"Smith B Unit 3H","2023-09-01",13096.25,1394.25,369.98,30259.58,8376.46,0.0
"Smith Heirs Lease","2023-09-01",-1100.0,0.0,0.0,0.0,1100.0,0.0
"Smith Northcutt 2H","2023-09-01",37109.79,3518.12,933.57,76353.89,17019.57,0.0
"Tiller Briscoe 9H","2023-09-01",13246.660000000002,1742.45,462.38,37816.67,13592.559999999996,0.0
"W.H. New 1H","2023-09-01",2109.680000000001,623.6,165.48,13534.11,7431.19,0.0
"W.H. New 2H","2023-09-01",-35417.590000000004,1211.62,321.52,26295.85,54105.340000000004,39455.96
"W.H. New 3H","2023-09-01",6719.169999999999,934.02,247.85,20271.21,7687.03,0.0
"Wilson Malone 2H","2023-09-01",0.0,0.0,0.0,0.0,0.0,0.0
"Addie Hinds 1H","2023-10-01",12771.63,1403.19,389.55,30451.26,8840.210000000001,0.0
"Addie Hinds 2H","2023-10-01",13719.320000000002,1525.43,423.49,33103.9,9774.97,0.0
"Briscoe Dickerson 1H","2023-10-01",672.2800000000007,1024.51,284.42,22233.34,14755.49,0.0
"Briscoe Dickerson 2H","2023-10-01",-388.7400000000016,1104.23,306.56,23963.45,16895.63,0.0
"Carter Unit 7H","2023-10-01",12276.319999999996,2400.38,666.39,52091.61,24693.920000000002,0.0
"Carter Unit 8H","2023-10-01",15673.440000000002,1814.21,503.66,39370.97,12268.779999999999,-6875.23
"Conley Hickman 2H","2023-10-01",8188.09,1510.24,419.27,32774.26,15029.380000000001,0.0
"Cora Malone 1H","2023-10-01",12240.419999999998,2141.23,594.45,46467.74,20738.39,0.0
"Cora Malone 3H","2023-10-01",9963.969999999996,1331.94,369.77,28905.05,10550.380000000003,0.0
"Cora Malone 4H","2023-10-01",24530.159999999996,3262.71,905.79,70805.51,25721.690000000002,0.0
"Davis B Wilson 2H","2023-10-01",13919.099999999999,1308.33,363.22,28392.64,6231.610000000001,0.0
"Davis B Wilson 3H","2023-10-01",17958.45,1498.5,416.01,32519.55,5121.25,0.0
"Davis B Wilson 4H","2023-10-01",3588.4999999999964,1674.03,464.74,36328.81,22194.670000000002,12284.79
"Davis B Wilson 5H","2023-10-01",21367.68,2301.07,638.82,49936.31,14072.92,0.0
"Floy Gray 1H","2023-10-01",32522.5,2882.18,800.15,62547.26,13189.32,1985.44
"Floy Gray 2H","2023-10-01",12798.750000000004,1235.7,343.05,26816.45,6799.709999999999,0.0
"Floyd Tiller 1H","2023-10-01",3116.7499999999995,468.15,129.97,10159.56,4093.53,0.0
"Floyd Tiller 3H","2023-10-01",9585.389999999998,1256.19,348.74,27261.07,9762.33,0.0
"Floyd Tiller 5H","2023-10-01",5194.199999999999,605.37,168.06,13137.42,4100.450000000001,0.0
"Floyd Tiller 6H","2023-10-01",16406.26,1422.38,394.88,30867.62,5432.79,0.0
"Floyd Tiller 7H","2023-10-01",30555.460000000014,3212.3,891.79,69711.21,18919.629999999997,0.0
"Floyd Tiller 9H","2023-10-01",14541.25,1280.19,355.41,27781.97,5114.749999999999,0.0
"Floyd Tiller 10H","2023-10-01",21637.710000000006,2769.77,768.94,60107.98,21021.879999999997,0.0
"Floyd Tiller 12H","2023-10-01",2357.7800000000007,465.28,129.17,10097.17,4785.92,0.0
"J.B. Northcutt 2H","2023-10-01",9794.109999999999,1399.58,388.55,30372.82,11762.01,0.0
"J.B. Northcutt A 3H","2023-10-01",11616.129999999997,1220.24,338.76,26480.8,7329.190000000002,0.0
"J.B. Northcutt 6H","2023-10-01",6354.889999999999,1008.29,279.92,21881.35,9174.72,0.0
"J.L. New 1H","2023-10-01",31071.100000000006,2632.82,730.92,57135.87,12506.169999999998,0.0
"Mary B Johnson 1BH","2023-10-01",32468.789999999994,2602.5,722.5,56477.84,7745.050000000002,0.0
"Mary B Johnson 4H","2023-10-01",11315.489999999998,1270.9,352.83,27580.42,8258.8,0.0
"Mary B Johnson 5H","2023-10-01",10504.359999999997,1165.36,323.53,25290.01,7444.32,0.0
"Mary B Johnson 6H","2023-10-01",24944.580000000005,2584.03,717.37,56077.01,14854.310000000001,0.0
"Mary B Johnson 7H","2023-10-01",11744.04,1172.4,325.48,25442.7,6313.090000000001,0.0
"Merriweather South 5H","2023-10-01",5839.59,1303.4,361.85,28285.74,14235.25,0.0
"Mose Baggett A 1H","2023-10-01",1883.1100000000006,996.65,276.69,21628.8,13467.27,3763.56
"Moses Baggett 2H","2023-10-01",19916.42,3099.97,860.61,67273.72,28213.910000000003,0.0
"Moses Baggett 3H","2023-10-01",9646.190000000002,1866.41,518.15,40503.67,19331.76,0.0
"Moses Watson 1H","2023-10-01",11406.710000000003,1644.15,456.45,35680.23,13916.329999999998,1474.09
"Moses Watson 2H","2023-10-01",435.73999999999796,1111.39,308.54,24118.61,16681.58,996.27
"Moses Watson 3H","2023-10-01",5540.510000000009,2705.56,751.11,58714.38,36130.02999999999,14077.14
"Northcutt Dye 1H","2023-10-01",3522.2699999999995,717.88,199.3,15578.98,7534.53,0.0
"Northcutt Dye 2H","2023-10-01",21500.25,1868.86,518.83,40556.94,7283.68,0.0
"Northcutt Dye 3H","2023-10-01",10351.099999999999,1114.45,309.39,24185.12,6813.440000000001,0.0
"R.W. Carter 4BH","2023-10-01",28375.66,2138.47,593.68,46407.85,5316.240000000001,0.0
"R.W. Carter 5BH","2023-10-01",2937.3200000000006,535.23,148.59,11615.25,5320.21,0.0
"Salt Flat Field","2023-10-01",0.0,0.0,0.0,0.0,0.0,0.0
"Smith B Unit 2H","2023-10-01",4236.370000000001,858.15,238.24,18622.95,8973.74,0.0
"Smith B Unit 3H","2023-10-01",14459.36,1583.76,439.68,34369.92,9930.060000000001,0.0
"Smith Heirs Lease","2023-10-01",-905.0,0.0,0.0,0.0,905.0,0.0
"Smith Northcutt 2H","2023-10-01",37387.2,3714.3,1031.16,80605.56,19755.98,0.0
"Tiller Briscoe 9H","2023-10-01",1504.739999999998,1727.08,479.47,37480.07,25095.62,5147.19
"W.H. New 1H","2023-10-01",14935.230000000003,1483.51,411.85,32194.24,7759.889999999999,0.0
"W.H. New 2H","2023-10-01",15489.22,1515.77,420.81,32894.28,7887.76,0.0
"W.H. New 3H","2023-10-01",9930.95,1168.49,324.39,25357.86,8090.09,0.0
"Wilson Malone 2H","2023-10-01",0.0,0.0,0.0,0.0,0.0,0.0
"Addie Hinds 1H","2023-11-01",2826.109999999997,1132.67,349.3,24575.64,14615.45,0.0
"Addie Hinds 1H","2023-12-01",6375.93,1023.57,349.21,22203.94,9382.269999999999,0.0
"Addie Hinds 1H","2024-01-01",8757.42,1056.72,349.89,22924.64,7512.23,0.0
"Addie Hinds 1H","2024-02-01",9749.369999999999,1145.8,361.61,24858.9,7893.13,0.0
"Addie Hinds 1H","2024-03-01",10106.29,1089.26,324.25,23634.75,6667.57,0.0
"Addie Hinds 1H","2024-04-01",12854.989999999998,1275.73,359.63,27684.46,6793.029999999999,0.0
"Addie Hinds 1H","2024-05-01",16029.880000000001,1312.8,398.34,28481.29,4183.48,0.0
"Addie Hinds 1H","2024-06-01",3714.84,1124.16,344.11,24390.93,13595.560000000001,0.0
"Addie Hinds 2H","2023-11-01",3436.6900000000023,1231.33,379.72,26716.45,15524.099999999999,0.0
"Addie Hinds 2H","2023-12-01",6419.809999999998,1112.73,379.64,24138.16,10711.050000000003,0.0
"Addie Hinds 2H","2024-01-01",3857.0300000000007,1148.77,380.37,24921.64,13829.97,5257.63
"Addie Hinds 2H","2024-02-01",10267.859999999997,1245.58,393.12,27024.4,8911.530000000002,0.0
"Addie Hinds 2H","2024-03-01",10830.629999999997,1184.11,352.5,25693.61,7404.450000000001,0.0
"Addie Hinds 2H","2024-04-01",13591.410000000002,1386.87,390.95,30096.09,7768.289999999999,0.0
"Addie Hinds 2H","2024-05-01",17546.65,1426.99,433.06,30962.38,4427.679999999999,0.0
"Addie Hinds 2H","2024-06-01",3580.039999999999,1222.06,374.09,26515.66,15238.339999999998,0.0
"Briscoe Dickerson 1H","2023-11-01",-8943.249999999998,547.11,168.72,11870.77,17180.34,0.0
"Briscoe Dickerson 1H","2023-12-01",-517.3299999999995,267.42,91.24,5801.27,4542.78,0.0
"Briscoe Dickerson 1H","2024-01-01",-19203.899999999998,541.48,179.29,11746.94,27355.03,0.0
"Briscoe Dickerson 1H","2024-02-01",-13226.410000000002,287.55,90.75,6238.72,17555.4,0.0
"Briscoe Dickerson 1H","2024-03-01",-6767.179999999997,568.28,169.17,12330.84,15323.499999999998,0.0
"Briscoe Dickerson 1H","2024-04-01",-13950.480000000003,526.78,148.5,11431.5,21882.780000000002,0.0
"Briscoe Dickerson 1H","2024-05-01",-16334.13,221.83,67.31,4812.52,19673.5,0.0
"Briscoe Dickerson 1H","2024-06-01",-12793.710000000006,358.36,109.7,7775.63,18189.170000000006,0.0
"Briscoe Dickerson 2H","2023-11-01",-3448.390000000003,589.68,181.85,12794.5,12261.650000000003,0.0
"Briscoe Dickerson 2H","2023-12-01",973.539999999999,288.24,98.33,6252.7,3333.4700000000003,0.0
"Briscoe Dickerson 2H","2024-01-01",5981.52,583.62,193.24,12661.04,2739.73,0.0
"Briscoe Dickerson 2H","2024-02-01",3012.2000000000007,309.92,97.82,6724.2,1619.5799999999997,0.0
"Briscoe Dickerson 2H","2024-03-01",8354.83,612.5,182.34,13290.38,800.0,0.0
"Briscoe Dickerson 2H","2024-04-01",7687.16,567.77,160.05,12321.05,800.0,0.0
"Briscoe Dickerson 2H","2024-05-01",2772.5699999999997,239.06,72.55,5187.03,800.41,0.0
"Briscoe Dickerson 2H","2024-06-01",4971.359999999999,386.25,118.24,8380.71,801.56,0.0
"Carter Unit 7H","2023-11-01",3409.7199999999975,1700.39,524.38,36893.81,22774.2,0.0
"Carter Unit 7H","2023-12-01",7634.630000000005,1866.95,636.96,40499.29,21107.799999999996,0.0
"Carter Unit 7H","2024-01-01",9659.180000000004,1745.93,578.09,37876.47,17222.0,0.0
"Carter Unit 7H","2024-02-01",-21833.480000000003,1675.01,528.65,36341.33,47625.16,31415.22
"Carter Unit 7H","2024-03-01",21016.910000000003,1768.0,526.32,38363.19,6209.960000000001,0.0
"Carter Unit 7H","2024-04-01",14188.619999999999,1964.37,553.75,42628.53,16065.529999999999,0.0
"Carter Unit 7H","2024-05-01",13071.720000000001,1962.88,595.71,42591.77,17156.179999999997,0.0
"Carter Unit 7H","2024-06-01",17804.750000000004,1781.96,545.49,38664.12,9635.599999999999,0.0
"Carter Unit 8H","2023-11-01",-4306.759999999995,1285.16,396.32,27884.44,24096.609999999993,0.0
"Carter Unit 8H","2023-12-01",-1259.3899999999994,1411.04,481.41,30609.47,22983.02,0.0
"Carter Unit 8H","2024-01-01",-490.77000000000044,1319.58,436.93,28627.13,20807.57,0.0
"Carter Unit 8H","2024-02-01",609.0900000000074,1265.97,399.56,27466.88,18884.399999999994,0.0
"Carter Unit 8H","2024-03-01",11858.510000000002,1336.26,397.8,28995.0,8719.579999999998,0.0
"Carter Unit 8H","2024-04-01",3350.3400000000074,1484.68,418.49,32218.73,19515.749999999993,0.0
"Carter Unit 8H","2024-05-01",1603.3600000000042,1483.63,450.24,32190.97,21242.899999999998,0.0
"Carter Unit 8H","2024-06-01",6158.640000000005,1346.81,412.28,29222.44,14580.819999999994,0.0
"Conley Hickman 2H","2023-11-01",-9473.209999999997,578.99,178.55,12562.35,18372.309999999998,0.0
"Conley Hickman 2H","2023-12-01",14587.390000000003,1105.53,377.18,23982.04,2401.2499999999995,0.0
